SMILES,Train,B02[N-O],MLOGP2,F06[C-C],nBT,Y calc/pred,Y exp
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,34.262,24,38,-1.51,-0.26
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,15.048,2,29,-1.07,-0.38
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,2.834,0,16,-1.43,-1.70
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,8.139,0,22,-1.57,-0.74
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,17.39,2,25,-1.14,-1.40
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,21.686,3,28,-0.94,-0.64
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,1,1,17.979,19,41,-3.11,-2.99
O=[S@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,0,0,9.706,0,27,-1.04,-1.30
O=[S@@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,1,0,9.706,0,27,-1.09,-1.00
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,0,16.321,8,26,-1.09,-0.86
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,0,0,7.019,7,31,-1.39,-1.70
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1,0,18.329,9,35,-1.39,-2.05
COCCN(C(=O)CCl)c1c(C)cccc1C,1,1,6.351,5,35,-3.17,-4.46
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,0,0,18.218,10,37,-1.78,-1.12
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,1,0,14.218,15,46,-1.74,-0.91
COC(=O)Nc1nc2ccccc2[nH]1,0,1,1.106,4,24,-3.55,-3.74
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,0,1,1.452,3,39,-3.55,-4.30
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,0,1,10.038,22,49,-3.18,-3.35
ClCC(Cl)CCCCCCCCCCC(Cl)CCl,1,0,36.068,8,43,-0.52,0.10
ClCC(Cl)CCCCCCC(Cl)CCl,1,0,25.194,4,31,-1.25,-0.66
ClCC(Cl)CCC(Cl)C(Cl)CCC(Cl)CCl,0,0,30.524,4,31,0.27,-0.04
Clc1ccccc1-c1ccccc1Cl,1,0,24.476,4,23,0.49,0.66
Clc1ccccc1-c1cccc(Cl)c1Cl,1,0,29.937,4,23,0.52,0.48
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,1,0,35.867,4,23,-0.25,0.22
Clc1ccccc1-c1c(Cl)cccc1Cl,0,0,29.937,4,23,0.51,0.57
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,1,0,35.867,4,23,-0.25,0.62
Clc1cccc(-c2ccccc2Cl)c1,0,0,24.476,4,23,0.55,0.27
Clc1cccc(-c2ccc(Cl)cc2Cl)c1,1,0,29.937,4,23,0.52,0.52
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,1,0,35.867,4,23,-0.25,-2.52
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1,1,0,35.867,4,23,-0.25,0.72
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,1,0,38.839,4,23,0.62,0.48
Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,1,0,44.917,4,23,0.71,0.01
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,0,0,16.737,6,24,-0.84,-1.13
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,0,18.786,6,24,-0.80,-1.09
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,1,0,29.937,4,23,0.52,0.58
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,1,0,29.937,4,23,0.52,0.47
Clc1ccc(Cl)c(-c2ccccc2)c1,0,0,24.476,4,23,0.55,-0.64
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,1,0,38.839,4,23,0.62,0.76
Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,1,0,38.839,4,23,0.62,0.74
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,0,0,44.917,4,23,0.74,0.85
Clc1ccc(-c2ccccc2Cl)cc1Cl,1,0,29.937,4,23,0.52,0.52
Clc1ccc(-c2ccccc2Cl)cc1,0,0,24.476,4,23,0.55,0.57
Clc1ccc(-c2ccccc2)cc1Cl,1,0,24.476,4,23,0.49,0.46
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,0,0,29.937,4,23,0.51,0.35
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,0,0,29.937,4,23,0.51,0.29
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,1,0,35.867,4,23,-0.25,0.83
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,1,0,35.867,4,23,-0.25,0.69
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,1,0,29.937,4,23,0.52,0.53
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,1,0,38.839,4,23,0.62,0.87
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,0,38.839,4,23,0.62,0.58
Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1,1,0,35.867,4,23,-0.25,-0.85
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,1,0,41.857,4,23,0.33,0.74
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,1,0,38.839,4,23,0.62,0.30
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1,0,0,38.839,4,23,0.68,0.86
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,1,0,44.917,4,23,0.71,0.89
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,0,0,16.737,6,24,-0.84,0.10
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,0,20.902,6,24,-1.14,-0.02
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,0,23.081,6,24,-0.48,-0.47
Clc1cc(Cl)cc(-c2cccc(Cl)c2Cl)c1,1,0,35.867,4,23,-0.25,0.14
Clc1cc(Cl)cc(-c2ccc(Cl)cc2Cl)c1,1,0,35.867,4,23,-0.25,0.22
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,0,24.263,0,12,-0.23,-0.59
Clc1cc(Cl)c(Cl)c(-c2ccccc2Cl)c1,0,0,35.867,4,23,0.28,0.83
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,1,0,44.917,4,23,0.71,0.85
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,1,0,51.159,4,23,0.72,0.73
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,1,0,38.839,4,23,0.62,0.84
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,0,41.857,4,23,0.33,0.73
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,0,0,38.839,4,23,0.68,0.39
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,1,0,44.917,4,23,0.71,0.77
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,1,0,44.917,4,23,0.71,0.93
Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,0,0,44.917,4,23,0.74,0.88
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0,0,51.159,4,23,0.71,0.80
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,0,0,41.857,4,23,0.41,0.50
Clc1cc(-c2c(Cl)cccc2Cl)c(Cl)c(Cl)c1Cl,1,0,41.857,4,23,0.33,-0.60
Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc(Cl)c1Cl,1,0,44.917,4,23,0.71,0.96
Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,1,0,48.018,4,23,0.74,0.81
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,0,27.11,0,12,-0.35,0.25
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,0,16.744,0,18,-1.49,-1.59
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,1,1,9.613,13,42,-3.33,-2.85
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,1,0,56.823,26,84,-1.22,-2.30
CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,1,0,58.571,24,97,-1.31,-1.96
CCCCCCCCCCCCCC,1,0,35.181,8,43,-0.51,0.03
CCCCCCCCCCCCC,1,0,32.124,7,40,-1.15,-0.57
CCCCCCCCCCCC,0,0,29.116,6,37,-1.36,-0.88
CCCCCCCCCCc1ccccc1,1,0,37.06,10,42,-0.28,-0.74
CCCCCCCCCC(C)C,0,0,29.116,6,37,-1.36,-1.29
CCCCCCCCC1CCCCC1,1,0,30.684,8,42,-1.00,-1.22
CCCCCCCCc1ccccc1,0,0,31.16,8,36,-1.06,-1.65
CCCCCCCCc1ccc2ccc3cccc4ccc1c2c34,1,0,55.95,21,53,-0.54,-1.11
CCCCCCCCC(C)CCC,0,0,32.124,7,40,-0.84,-1.11
CCCCCCCCC(C)C,0,0,26.162,5,34,-1.42,-1.44
CCCCCCCCC,1,0,20.431,3,28,-0.81,-0.89
CCCCCCCC1CCCCC1,1,0,27.834,7,39,-1.12,-1.70
CCCCCCCC(C)CC,1,0,26.162,5,34,-1.29,-1.70
CCCCCCCC(C)C(C)C,1,0,29.116,6,37,-1.26,-1.59
CCCCCCCC(C)C(C)(C)C,0,0,32.124,7,40,-0.84,-1.18
CCCCCCC1CCCCC1,1,0,25.04,6,36,-1.09,-1.38
CCCCCCC1CCCC(C)C1,0,0,27.834,7,39,-1.40,-1.18
CCCCCCC1CCc2ccccc2C1,1,0,26.788,10,41,-1.30,-1.89
CCCCCCC(CC)CC,1,0,26.162,5,34,-1.29,-1.44
CCCCCc1ccc(-c2ccccc2)cc1,1,0,26.627,12,38,-1.60,-1.17
CCCCCC(C)CCCC(C)C,1,0,32.124,9,40,-1.00,-1.03
CCCCc1cc2ccccc2c2ccccc12,1,0,28.28,15,38,-1.48,-1.85
CCCCC(C)CCCC(C)C,1,0,29.116,7,37,-1.32,-1.32
CCCCC(C)C(C)C,1,0,20.431,2,28,-0.77,-0.79
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,0,0,13.598,11,38,-1.68,-2.10
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,0,17.369,15,41,-1.55,-2.22
CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,0,0,21.127,9,34,-1.64,-2.00
CCc1ccc2ccc3cccc4ccc1c2c34,1,0,27.461,10,35,-1.62,-1.70
CCc1ccc(-c2ccccc2)cc1,1,0,19.46,7,29,-1.20,-1.74
CCc1cc2c3ccccc3ccc2c2ccccc12,1,0,31.636,19,39,-1.62,-1.49
CCC(C)CCCC(C)CCCC(C)C,1,0,38.285,12,46,-0.27,0.00
CCC(C)CCCC(C)C,1,0,23.266,5,31,-1.34,-1.85
Cc1cccc2c1ccc1ccccc12,1,0,21.047,6,29,-1.31,-1.72
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,1,1,6.896,11,36,-3.20,-4.49
Cc1cccc(C)c1C,1,0,10.62,0,21,-1.48,-1.60
Cc1ccc2ccccc2c1,1,0,13.524,1,22,-1.51,-2.00
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1,0,34.194,20,41,-1.57,-1.52
Cc1ccc2c(c1)CCCC2(C)C,1,0,19.418,3,32,-0.76,-0.48
Cc1ccc2c(c1)C(C)(C)CC2(C)C,0,0,21.81,2,35,-0.81,-0.84
Cc1ccc(-c2ccc(C)c(C)c2)cc1C,1,0,24.176,12,35,-1.48,-2.05
CC1CCC(C)c2ccccc21,1,0,17.096,0,29,-0.55,-0.80
Cc1ccc(C)c(C)c1C,1,0,12.69,0,24,-1.52,-1.29
Cc1ccc(C(C)(C)C)cc1,1,0,14.851,3,27,-0.98,-1.02
Cc1cc2ccccc2cc1C,1,0,15.67,2,25,-0.99,-1.92
Cc1cc2cccc(CCCC(C)C)c2cc1C,1,0,30.033,15,43,-1.40,-1.37
Cc1cc2cc3cc(C)c(C)cc3cc2cc1C,1,0,28.28,14,38,-1.32,-1.76
Cc1cc2c3ccccc3ccc2c2ccccc12,1,0,29.128,15,36,-1.69,-1.40
Cc1cc(C)cc(CCc2cc(C)cc(C)c2)c1,1,0,29.135,14,41,-1.55,-0.38
CC1CC(C)CC(C)C1,1,0,17.041,0,27,-1.00,-0.46
CC1CC(C)CC(C)(C)C1,0,0,19.638,0,30,-0.50,-0.27
Cc1cc(C)c2c(c1)CC(C)(C)CC2,1,0,21.81,7,35,-1.39,-1.30
Cc1c2ccccc2cc2c1ccc1ccccc12,1,0,29.128,16,36,-1.51,-2.10
CC1C=CCC(C)(C)C1,0,0,9.431,0,25,-1.25,-1.14
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],1,0,15.095,0,36,-0.65,-0.35
CC12CC3CC(C1)CC(C)(C3)C2,1,0,25.04,0,34,-1.06,-1.17
CC1(C)CON(Cc2ccccc2Cl)C1=O,1,1,7.164,9,31,-3.48,-3.70
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,0,18.069,18,46,-1.57,-1.72
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,1,0,41.433,16,49,-0.21,0.00
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,0,14.213,14,40,-1.57,-1.96
CC(C)Nc1ccc(NC(C)C)c2c1C(=O)c1ccccc1C2=O,1,0,10.438,22,48,-0.76,-0.98
CC(C)Nc1ccc(NC(C)C)c2c1C(=O)c1ccccc1C2=O,1,0,10.438,22,48,-0.76,-0.50
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1,1,4.034,6,35,-3.75,-2.67
CC(C)CCCCCCCO,1,0,8.378,4,32,-0.78,-1.92
CC(C)CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC(C)C,0,0,54.358,30,96,-1.66,-2.05
CC(C)CCCCCCCCCCO,0,0,13.978,7,41,-1.47,-1.89
CC(C)CC1CCCCC1,1,0,19.638,2,30,-0.56,-0.65
CC(C)c1ccc2ccc(C(C)C)cc2c1,1,0,24.994,11,37,-1.66,-1.44
CC(C)c1ccc2c(c1)CCC1C(C)CCCC21C,1,0,30.215,13,49,-0.86,-1.28
CC(C)c1ccc(NC(=O)N(C)C)cc1,1,1,5.716,5,33,-3.71,-3.21
CC(C)C1CCC(C(C)C)CC1,1,0,25.04,4,36,-1.15,-0.48
CC(C)c1cc(C(C)C)cc(C(C)C)c1,0,0,24.268,12,39,-1.52,-0.40
CC(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H](C)CCC[C@@]32C)C1,0,0,45.671,13,55,-0.21,-0.35
CC(C)(c1ccccc1)C(C)(C)c1ccccc1,0,0,29.135,14,41,-0.96,-0.78
CC(C)(C)CC(C)(S)CC(C)(C)C,0,0,20.106,9,38,-1.65,-2.00
CC(C)(C)c1ccc(C2=C3C(=O)NC(c4ccc(C(C)(C)C)cc4)=C3C(=O)N2)cc1,0,1,22.858,22,61,-3.24,-1.58
CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0,0,40.583,46,76,-1.22,0.16
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,1,0,16.106,16,44,-1.61,-1.92
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,1,1,11.052,16,37,-3.49,-1.92
CC(=CC(C)C)CC(C)C,1,0,14.186,4,29,-0.90,-1.04
CC(=CC(C)(C)C)CC(C)(C)C,0,0,18.827,9,35,-1.85,-1.28
C1CCC2CCCCC2C1,1,0,19.638,0,29,-0.71,-0.07
c1ccc2ccccc2c1,1,0,11.465,0,19,-1.43,-2.30
C1CCC2CCCC2C1,1,0,17.041,0,26,-0.81,-1.10
c1ccc2cc3ccccc3cc2c1,0,0,18.762,6,26,-1.07,-2.05
c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,1,0,35.045,22,40,-1.49,-1.74
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,0,30.809,18,36,-1.38,-1.98
c1ccc2cc(Nc3ccc(Nc4ccc5ccccc5c4)cc3)ccc2c1,1,0,33.535,24,52,-1.51,-1.10
c1ccc2c(c1)ccc1ccccc12,1,0,18.762,4,26,-1.03,-1.12
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,0,0,35.045,22,40,-1.56,-2.15
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,0,26.674,12,33,-1.55,-1.54
C1CCC2C(C1)CCC1C3CCCCC3CCC21,1,0,42.584,12,51,-0.10,-0.42
c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,1,0,35.045,23,40,-1.56,-1.30
c1ccc2c(c1)CCc1c-2ccc2c1CCCC2,1,0,29.135,12,39,-1.19,-1.30
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,0,30.809,15,36,-1.72,-1.52
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,0,0,25.028,12,32,-1.63,-1.62
c1ccc2c(c1)c1ccccc1c1ccccc21,1,0,26.674,12,33,-1.55,-1.66
c1ccc2c(c1)-c1cccc3cccc-2c13,1,0,22.653,6,29,-1.44,-1.49
c1ccc2c(c1)-c1cccc3c1C2CCC3,1,0,24.176,6,33,-1.54,-1.64
c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,1,0,35.045,22,39,-1.57,-1.54
C1CCC(CCC2CCCCC2)CC1,1,0,30.684,10,41,-1.23,-1.30
c1ccc(-c2ccccc2-c2ccccc2)cc1,1,0,26.674,18,34,-1.70,-0.35
c1ccc(-c2ccccc2C2CCCCC2)cc1,1,0,25.057,18,40,-1.32,-1.25
C1CCC(C2CCCCC2)CC1,1,0,25.04,4,35,-1.12,-0.77
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,0,0,26.674,16,34,-1.40,-1.35
C1CCC(C2CCCC(C3CCCCC3)C2)CC1,1,0,42.584,16,52,-0.12,-0.36
c1ccc(C2CCCC(C3CCCCC3)C2)cc1,0,0,27.715,16,46,-1.27,-1.05
C1CC2CCC3CCCC4CCC(C1)C2C34,1,0,36.54,4,45,-0.28,0.01
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,1,0,35.045,22,39,-1.57,-1.49
c1cc2c3c(ccc4c3c1CCC4)CCC2,1,0,24.994,4,35,-0.94,-1.25
c1cc2c3c(c1)CCc1cccc(c1-3)CC2,1,0,24.176,4,33,-1.09,-1.55
c1cc2c(c3c1CCCC3)CCCC2,1,0,21.81,4,34,-1.12,-0.89
c1cc2c(c3c1CCCC3)CCC1CCCCC21,1,0,27.715,12,45,-1.24,-0.77
C=CCCCCCCCCCCCCCC,1,0,39.588,10,47,-0.22,0.18
C=CCCCCCCCCCCC,1,0,30.501,7,38,-1.14,-0.96
C=CCCCCCCCCCC,1,0,27.573,6,35,-1.47,-0.94
C=CCCCCCCCCC,1,0,24.7,5,32,-1.49,-1.41
C=CCCCCCCCC,1,0,21.888,4,29,-1.12,-1.14
C=CCCC(CC)CCCC,1,0,16.467,5,32,-1.20,-0.68
C=CC(C)CC(C)(C)C,1,0,11.993,0,26,-1.25,-1.20
C=C(CCCC)CCCCCCCC,0,0,33.482,8,41,-0.72,-0.97
C=C(C)CCCCCCCCCCC,1,0,33.482,8,41,-0.63,-0.92
C=C(C)CCCCCCCCCC,1,0,30.501,7,38,-1.14,-1.20
C=C(C)CCCCCCCCC,1,0,27.573,6,35,-1.47,-1.46
C=C(C)CCCCCCC,1,0,21.888,4,29,-1.12,-1.37
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0,0,2.879,52,146,-1.19,-1.70
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,0,0.194,36,106,-1.24,-1.35
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0,0,0.02,32,96,-1.17,-1.22
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,0,0.021,28,86,-1.32,-0.96
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,0,0.18,24,76,-1.04,-1.30
C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CCCC[C@]3(C)[C@H]1CC2,1,0,45.671,15,54,-0.19,-0.17
C#CCCCCCCCCCCCCCCC,0,0,42.708,11,48,-0.14,-0.09
BrCC(Br)C1CCC(Br)C(Br)C1,1,0,21.412,0,24,-0.73,-0.39
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,1,0,29.732,8,24,0.51,1.11
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],1,0,41.433,10,49,-0.16,-0.19
